Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
37,No,Travel_Rarely,Research & Development,10,3,Medical,1,486,3,Female,3,1,Laboratory Technician,1,Married,34520,6,Y,No,20,4,2,80,1,17,3,3,5,4,0,3
46,No,Non-Travel,Research & Development,7,4,Medical,1,487,3,Female,3,2,Manufacturing Director,3,Married,52580,2,Y,No,14,3,3,80,0,7,2,4,1,0,0,0
41,Yes,Travel_Frequently,Sales,4,3,Marketing,1,488,1,Male,3,2,Sales Executive,2,Single,93550,1,Y,No,18,3,3,80,0,8,5,3,8,7,7,7
50,No,Travel_Rarely,Research & Development,10,3,Technical Degree,1,491,4,Male,2,3,Healthcare Representative,4,Single,104960,6,Y,No,15,3,4,80,0,20,2,3,4,3,1,3
40,Yes,Travel_Rarely,Sales,22,2,Marketing,1,492,3,Male,2,2,Sales Executive,3,Married,63800,2,Y,Yes,12,3,1,80,2,8,6,3,6,4,1,0
31,No,Travel_Rarely,Research & Development,9,4,Science,1,493,3,Male,2,1,Research Scientist,2,Single,26570,0,Y,Yes,16,3,4,80,0,3,5,3,2,2,2,2
21,Yes,Travel_Rarely,Sales,12,3,Science,1,494,3,Female,4,1,Sales Representative,2,Single,27160,1,Y,No,15,3,4,80,0,1,0,3,1,0,0,0
29,No,Travel_Rarely,Research & Development,23,3,Science,1,495,4,Male,3,1,Research Scientist,4,Single,22010,9,Y,No,16,3,4,80,0,6,4,3,3,2,1,2
35,No,Travel_Rarely,Research & Development,9,4,Science,1,496,3,Male,2,2,Healthcare Representative,2,Single,65400,9,Y,No,19,3,3,80,0,10,5,3,1,1,0,0
27,No,Travel_Rarely,Research & Development,1,2,Medical,1,497,4,Male,3,1,Laboratory Technician,2,Divorced,38160,1,Y,No,11,3,2,80,1,5,2,3,5,2,0,4
28,No,Travel_Rarely,Sales,9,4,Science,1,498,2,Male,3,2,Sales Executive,4,Single,52530,1,Y,No,16,3,4,80,0,7,1,3,7,5,0,7
49,No,Travel_Rarely,Research & Development,7,3,Other,1,499,2,Male,2,3,Healthcare Representative,3,Single,109650,8,Y,No,24,4,3,80,0,26,2,3,5,2,0,0
51,No,Travel_Rarely,Sales,14,2,Science,1,500,3,Female,3,2,Sales Executive,4,Married,49360,4,Y,No,11,3,3,80,1,18,2,2,7,7,0,7
36,No,Travel_Rarely,Research & Development,2,3,Science,1,501,4,Female,3,1,Research Scientist,3,Married,25430,4,Y,No,13,3,2,80,1,6,3,3,2,2,2,2
34,Yes,Non-Travel,Sales,19,3,Marketing,1,502,1,Male,4,2,Sales Executive,4,Single,53040,8,Y,Yes,13,3,2,80,0,9,3,2,5,2,0,4
55,No,Travel_Rarely,Research & Development,2,3,Science,1,505,3,Female,3,4,Manager,4,Single,166590,2,Y,Yes,13,3,3,80,0,30,2,3,5,4,1,2
24,No,Travel_Rarely,Sales,10,4,Marketing,1,507,4,Female,3,2,Sales Executive,3,Divorced,42600,1,Y,Yes,12,3,4,80,1,5,2,4,5,2,0,3
30,No,Travel_Rarely,Sales,2,1,Technical Degree,1,508,3,Male,3,1,Sales Representative,2,Married,24760,1,Y,No,18,3,1,80,1,1,3,3,1,0,0,0
26,Yes,Travel_Frequently,Research & Development,3,1,Technical Degree,1,510,3,Male,3,1,Research Scientist,1,Single,31020,0,Y,No,22,4,3,80,0,7,2,3,6,4,0,4
22,No,Travel_Rarely,Research & Development,11,3,Medical,1,511,1,Female,3,1,Research Scientist,2,Married,22440,1,Y,No,13,3,4,80,1,2,1,3,2,1,1,2
36,No,Travel_Rarely,Sales,2,2,Medical,1,513,2,Male,2,3,Sales Executive,3,Married,75960,1,Y,No,13,3,2,80,2,10,2,3,10,9,9,0
30,Yes,Travel_Frequently,Research & Development,4,3,Technical Degree,1,514,3,Male,3,1,Research Scientist,4,Single,22850,9,Y,Yes,23,4,3,80,0,3,4,3,1,0,0,0
37,No,Travel_Rarely,Research & Development,14,3,Science,1,515,4,Female,3,1,Laboratory Technician,1,Divorced,30340,1,Y,No,12,3,3,80,1,18,2,2,18,7,12,17
40,No,Travel_Rarely,Sales,2,2,Marketing,1,516,4,Female,3,2,Sales Executive,2,Divorced,57150,7,Y,No,12,3,3,80,2,8,5,3,5,4,1,3
42,No,Travel_Rarely,Research & Development,1,4,Science,1,517,2,Female,3,1,Laboratory Technician,1,Divorced,25760,3,Y,No,16,3,2,80,1,8,5,3,5,2,1,2
37,No,Travel_Rarely,Research & Development,10,4,Science,1,518,3,Male,3,2,Manufacturing Director,2,Single,41970,2,Y,Yes,12,3,4,80,0,18,2,2,1,0,0,1
43,No,Travel_Rarely,Research & Development,12,3,Science,1,520,1,Male,2,4,Research Director,2,Divorced,143360,1,Y,No,11,3,3,80,1,25,3,3,25,10,3,9
40,No,Travel_Rarely,Research & Development,2,3,Medical,1,521,2,Female,2,2,Laboratory Technician,3,Married,34480,6,Y,No,22,4,2,80,1,20,3,3,1,0,0,0
54,No,Travel_Rarely,Research & Development,5,2,Medical,1,522,1,Male,3,5,Research Director,1,Married,194060,4,Y,No,11,3,3,80,1,24,4,2,4,2,1,2
34,No,Non-Travel,Sales,4,4,Marketing,1,523,3,Female,3,2,Sales Executive,3,Married,65380,9,Y,No,15,3,1,80,1,6,3,3,3,2,1,2
31,No,Travel_Rarely,Research & Development,7,2,Medical,1,524,2,Female,3,2,Manufacturing Director,1,Married,43060,1,Y,No,12,3,2,80,1,13,5,1,13,10,3,12
43,No,Travel_Frequently,Research & Development,21,3,Medical,1,525,4,Male,3,1,Laboratory Technician,4,Married,22580,7,Y,No,20,4,1,80,1,8,1,3,3,2,1,2
43,No,Travel_Rarely,Research & Development,8,4,Other,1,526,3,Female,3,2,Healthcare Representative,3,Divorced,45220,4,Y,Yes,14,3,4,80,0,8,3,3,5,2,0,2
25,No,Travel_Rarely,Sales,4,2,Science,1,527,2,Female,2,2,Sales Executive,4,Single,44870,1,Y,Yes,11,3,2,80,0,5,3,3,5,4,1,3
37,No,Non-Travel,Research & Development,25,5,Medical,1,529,2,Female,3,2,Research Scientist,3,Married,44490,3,Y,Yes,15,3,1,80,2,15,2,3,13,11,10,7
31,No,Travel_Rarely,Research & Development,1,2,Science,1,530,4,Male,2,1,Laboratory Technician,1,Married,22180,1,Y,No,12,3,3,80,1,4,3,3,4,2,3,2
39,No,Travel_Frequently,Research & Development,1,1,Science,1,531,2,Male,3,5,Manager,3,Divorced,191970,1,Y,Yes,14,3,3,80,1,21,3,3,21,8,1,6
56,No,Travel_Frequently,Sales,6,3,Science,1,532,3,Female,4,4,Sales Executive,1,Married,132120,9,Y,No,11,3,4,80,3,36,0,2,7,7,7,7
30,No,Travel_Rarely,Sales,12,3,Technical Degree,1,533,2,Female,3,2,Sales Executive,3,Single,65770,0,Y,No,11,3,2,80,0,6,6,3,5,4,4,4
41,No,Travel_Rarely,Sales,1,3,Marketing,1,534,2,Male,4,3,Sales Executive,1,Married,83920,1,Y,No,16,3,3,80,1,10,2,3,10,7,0,7
28,No,Travel_Rarely,Research & Development,17,2,Medical,1,536,3,Male,3,2,Laboratory Technician,1,Divorced,45580,1,Y,No,12,3,4,80,1,10,2,3,10,0,1,8
25,Yes,Travel_Rarely,Research & Development,3,3,Medical,1,538,1,Male,3,1,Laboratory Technician,1,Married,40310,5,Y,No,13,3,3,80,1,6,5,3,2,2,0,2
52,No,Travel_Rarely,Research & Development,3,3,Medical,1,543,4,Male,2,3,Manufacturing Director,3,Married,79690,2,Y,Yes,14,3,3,80,0,28,4,3,5,4,0,4
45,No,Travel_Rarely,Research & Development,10,2,Science,1,544,1,Male,3,1,Research Scientist,4,Married,26540,3,Y,No,21,4,4,80,2,8,3,2,2,2,0,2
52,No,Travel_Rarely,Research & Development,4,2,Science,1,546,4,Female,3,4,Manager,4,Married,165550,2,Y,No,13,3,4,80,0,31,2,1,5,2,1,4
42,No,Travel_Frequently,Research & Development,29,2,Science,1,547,1,Female,3,2,Research Scientist,3,Divorced,45560,2,Y,No,11,3,2,80,1,19,3,3,5,4,0,2
30,No,Travel_Rarely,Research & Development,2,3,Science,1,548,3,Female,1,2,Manufacturing Director,4,Single,60910,2,Y,No,20,4,3,80,0,11,2,3,5,4,0,2
60,No,Travel_Rarely,Research & Development,7,3,Science,1,549,1,Female,3,5,Manager,1,Married,195660,5,Y,No,11,3,4,80,0,33,5,1,29,8,11,10
46,No,Travel_Rarely,Research & Development,18,3,Medical,1,550,3,Female,3,2,Manufacturing Director,3,Divorced,48100,2,Y,No,14,3,3,80,1,19,5,2,10,7,0,8
42,No,Travel_Frequently,Research & Development,28,4,Technical Degree,1,551,4,Female,2,2,Healthcare Representative,4,Married,45230,0,Y,No,11,3,4,80,3,7,4,4,6,5,0,4
24,Yes,Travel_Rarely,Sales,1,1,Technical Degree,1,554,1,Female,3,1,Sales Representative,2,Single,32020,1,Y,Yes,16,3,2,80,0,6,4,3,5,3,1,4
34,Yes,Travel_Frequently,Sales,6,2,Marketing,1,555,4,Female,1,1,Sales Representative,3,Divorced,23510,0,Y,No,16,3,4,80,1,3,3,2,2,2,1,0
38,No,Travel_Frequently,Research & Development,2,2,Science,1,556,4,Male,3,1,Laboratory Technician,4,Married,17020,1,Y,Yes,23,4,3,80,1,1,3,3,1,0,0,0
40,No,Travel_Rarely,Sales,2,4,Science,1,558,3,Female,3,5,Manager,3,Married,180410,0,Y,No,14,3,4,80,0,21,2,3,20,15,1,12
26,No,Travel_Rarely,Research & Development,23,3,Science,1,560,1,Female,3,1,Research Scientist,4,Divorced,28860,1,Y,No,22,4,2,80,2,3,3,1,3,2,0,2
30,No,Non-Travel,Research & Development,3,3,Science,1,562,3,Male,3,1,Laboratory Technician,4,Married,20970,4,Y,No,15,3,3,80,1,9,3,1,5,3,1,4
29,No,Travel_Rarely,Research & Development,3,4,Medical,1,564,2,Male,2,3,Research Director,3,Married,119350,1,Y,No,18,3,3,80,0,10,2,3,10,2,0,7
29,Yes,Travel_Rarely,Research & Development,25,5,Technical Degree,1,565,3,Female,2,1,Research Scientist,2,Married,25460,5,Y,No,16,3,2,80,0,6,2,4,2,2,1,1
19,Yes,Travel_Rarely,Human Resources,2,2,Technical Degree,1,566,1,Male,2,1,Human Resources,4,Single,25640,1,Y,No,12,3,3,80,0,1,3,4,1,0,0,0
30,No,Non-Travel,Sales,22,4,Other,1,567,3,Female,3,3,Sales Executive,1,Married,84120,0,Y,No,11,3,3,80,0,10,3,3,9,8,7,8
57,No,Travel_Rarely,Sales,29,3,Marketing,1,568,1,Male,2,4,Manager,4,Divorced,141180,3,Y,No,12,3,3,80,1,32,3,2,1,0,0,0
50,No,Travel_Rarely,Research & Development,29,4,Science,1,569,2,Male,2,4,Manager,3,Married,170460,0,Y,No,15,3,2,80,1,28,2,3,27,10,15,7
30,No,Non-Travel,Research & Development,2,3,Medical,1,571,3,Female,3,1,Laboratory Technician,4,Single,25640,0,Y,No,14,3,3,80,0,12,2,2,11,7,6,7
60,No,Travel_Frequently,Sales,28,3,Marketing,1,573,3,Female,2,3,Sales Executive,1,Married,102660,4,Y,No,19,3,4,80,0,22,5,4,18,13,13,11
47,No,Travel_Rarely,Research & Development,2,2,Medical,1,574,1,Female,3,2,Manufacturing Director,4,Divorced,50700,5,Y,No,13,3,3,80,3,20,2,3,5,0,0,4
46,No,Travel_Rarely,Research & Development,2,3,Science,1,575,1,Male,3,4,Research Director,3,Married,178610,6,Y,No,13,3,3,80,0,26,2,1,3,2,0,1
35,No,Travel_Rarely,Research & Development,22,3,Science,1,577,4,Male,1,1,Laboratory Technician,3,Single,42300,0,Y,No,15,3,3,80,0,6,2,3,5,4,4,3
54,No,Travel_Rarely,Research & Development,8,4,Science,1,578,3,Female,3,2,Laboratory Technician,3,Single,37800,7,Y,No,11,3,3,80,0,19,3,3,1,0,0,0
34,No,Travel_Rarely,Research & Development,2,4,Science,1,579,4,Male,2,1,Research Scientist,3,Divorced,27680,3,Y,No,12,3,3,80,1,14,3,3,7,3,5,7
46,No,Travel_Rarely,Sales,10,3,Marketing,1,580,3,Female,2,3,Sales Executive,4,Married,90710,2,Y,Yes,19,3,3,80,1,15,3,3,3,2,1,2
31,No,Travel_Rarely,Research & Development,9,1,Science,1,581,3,Male,3,3,Manufacturing Director,2,Divorced,106480,1,Y,No,25,4,4,80,1,13,6,4,13,8,0,8
33,Yes,Travel_Rarely,Research & Development,15,1,Medical,1,582,2,Male,3,3,Manager,3,Married,136100,7,Y,Yes,12,3,4,80,0,15,2,4,7,6,7,7
33,Yes,Travel_Rarely,Research & Development,10,1,Medical,1,584,1,Male,1,1,Laboratory Technician,4,Divorced,34080,7,Y,No,13,3,1,80,3,8,2,3,4,3,1,3
30,No,Travel_Rarely,Sales,7,1,Marketing,1,585,4,Male,3,1,Sales Representative,2,Single,29830,0,Y,No,14,3,1,80,0,4,3,3,3,2,1,2
35,No,Travel_Rarely,Research & Development,16,3,Science,1,586,4,Male,3,3,Healthcare Representative,3,Married,76320,4,Y,Yes,12,3,3,80,0,10,2,3,8,7,0,0
31,Yes,Travel_Frequently,Research & Development,20,3,Science,1,587,1,Male,3,3,Healthcare Representative,3,Married,98240,3,Y,No,12,3,1,80,0,12,2,3,1,0,0,0
34,Yes,Travel_Frequently,Human Resources,23,3,Human Resources,1,590,2,Female,3,3,Human Resources,1,Divorced,99500,9,Y,Yes,15,3,3,80,3,11,2,3,3,2,0,2
42,No,Travel_Frequently,Research & Development,5,2,Other,1,591,2,Male,3,1,Laboratory Technician,3,Married,20930,4,Y,No,17,3,4,80,1,8,4,3,2,2,2,0
36,No,Non-Travel,Sales,10,4,Medical,1,592,2,Male,3,3,Sales Executive,4,Single,99800,1,Y,No,14,3,4,80,0,10,3,2,10,3,9,7
22,Yes,Travel_Frequently,Research & Development,4,1,Technical Degree,1,593,3,Male,2,1,Laboratory Technician,3,Single,38940,5,Y,No,16,3,3,80,0,4,3,3,2,2,1,2
48,No,Travel_Rarely,Sales,2,5,Marketing,1,595,2,Female,3,2,Sales Executive,4,Married,40510,2,Y,No,14,3,1,80,1,14,2,3,9,7,6,7
55,No,Travel_Rarely,Sales,18,5,Science,1,597,1,Female,3,4,Manager,2,Single,168350,3,Y,No,23,4,4,80,0,37,2,3,10,9,7,7
41,No,Non-Travel,Sales,10,2,Science,1,599,4,Male,3,2,Sales Executive,4,Single,62300,7,Y,No,14,3,4,80,0,16,3,3,14,3,1,10
35,No,Travel_Rarely,Sales,1,3,Marketing,1,600,2,Male,3,2,Sales Executive,3,Married,47170,9,Y,No,11,3,3,80,0,15,2,3,11,9,6,9
40,No,Travel_Rarely,Research & Development,6,3,Science,1,601,2,Female,3,4,Manufacturing Director,3,Single,132370,7,Y,No,15,3,3,80,0,22,3,3,20,6,5,13
39,No,Travel_Frequently,Research & Development,8,1,Science,1,602,3,Female,3,1,Laboratory Technician,3,Married,37550,1,Y,No,11,3,1,80,1,8,3,3,8,3,0,7
31,No,Travel_Rarely,Sales,2,1,Science,1,604,2,Male,3,2,Sales Executive,4,Single,65820,4,Y,Yes,13,3,3,80,0,10,2,4,6,5,0,5
42,No,Travel_Rarely,Research & Development,24,3,Medical,1,605,4,Male,3,3,Manufacturing Director,1,Married,74060,1,Y,Yes,21,4,4,80,1,10,5,2,10,9,5,8
45,No,Travel_Rarely,Sales,2,3,Other,1,606,4,Male,3,2,Sales Executive,2,Married,48050,0,Y,No,19,3,2,80,1,9,3,4,8,7,3,7
26,Yes,Travel_Frequently,Human Resources,17,4,Science,1,608,2,Female,3,1,Human Resources,3,Divorced,27410,0,Y,Yes,11,3,2,80,1,8,2,2,7,7,1,0
29,No,Travel_Rarely,Research & Development,19,3,Technical Degree,1,611,4,Male,3,2,Manufacturing Director,4,Divorced,42620,4,Y,No,12,3,2,80,2,8,2,4,3,2,1,2
33,No,Travel_Rarely,Research & Development,1,5,Medical,1,612,1,Female,4,4,Research Director,3,Divorced,161840,4,Y,No,19,3,3,80,1,10,2,3,6,1,0,5
31,No,Travel_Rarely,Sales,7,3,Science,1,613,3,Male,2,3,Manager,4,Divorced,115570,9,Y,No,21,4,3,80,1,10,3,2,5,4,0,1
18,Yes,Travel_Frequently,Sales,5,3,Marketing,1,614,2,Male,3,1,Sales Representative,2,Single,18780,1,Y,Yes,14,3,4,80,0,0,3,3,0,0,0,0
40,No,Non-Travel,Sales,28,3,Other,1,615,3,Male,1,3,Sales Executive,1,Divorced,109320,3,Y,No,15,3,3,80,1,20,2,3,1,0,0,1
41,No,Non-Travel,Research & Development,2,4,Other,1,616,1,Female,2,2,Healthcare Representative,3,Single,68110,2,Y,Yes,17,3,1,80,0,10,3,3,8,7,0,7
26,No,Travel_Rarely,Sales,29,2,Medical,1,618,1,Male,3,2,Sales Executive,3,Divorced,43060,5,Y,No,12,3,1,80,2,8,5,3,0,0,0,0
35,No,Travel_Rarely,Sales,1,3,Medical,1,620,1,Female,3,2,Sales Executive,3,Single,48590,1,Y,No,16,3,4,80,0,5,3,3,5,4,0,3
34,No,Travel_Rarely,Sales,21,4,Science,1,621,4,Male,4,2,Sales Executive,4,Single,53370,1,Y,No,12,3,4,80,0,10,3,3,10,7,5,7
26,Yes,Travel_Rarely,Research & Development,24,3,Technical Degree,1,622,3,Male,1,1,Laboratory Technician,4,Single,23400,1,Y,Yes,18,3,2,80,0,1,3,1,1,0,0,0
37,No,Travel_Rarely,Research & Development,1,3,Technical Degree,1,623,2,Female,3,3,Manufacturing Director,4,Single,74910,4,Y,No,17,3,4,80,0,12,3,4,6,5,1,2
46,No,Travel_Frequently,Research & Development,18,1,Medical,1,624,1,Female,3,3,Healthcare Representative,3,Married,105270,5,Y,No,11,3,4,80,0,28,3,2,2,2,1,2
41,No,Travel_Rarely,Sales,2,5,Science,1,625,2,Female,3,4,Manager,1,Married,165950,7,Y,No,16,3,2,80,1,22,2,3,18,16,11,8
37,No,Non-Travel,Sales,9,4,Medical,1,626,1,Male,3,3,Sales Executive,2,Divorced,88340,1,Y,No,13,3,4,80,1,9,6,3,9,5,7,7
52,No,Travel_Rarely,Research & Development,6,2,Technical Degree,1,630,4,Male,3,2,Research Scientist,1,Divorced,55770,3,Y,Yes,12,3,2,80,2,18,3,3,10,9,6,9
32,Yes,Non-Travel,Sales,11,4,Other,1,631,4,Male,4,2,Sales Executive,3,Married,47070,8,Y,No,12,3,4,80,0,6,2,3,4,2,1,2
24,No,Travel_Frequently,Sales,24,3,Medical,1,632,4,Male,3,1,Sales Representative,4,Married,24000,0,Y,No,13,3,3,80,2,3,3,3,2,2,2,1
38,No,Travel_Rarely,Research & Development,10,3,Medical,1,634,3,Female,3,2,Healthcare Representative,3,Married,98240,3,Y,No,19,3,3,80,1,18,4,3,1,0,0,0
37,No,Travel_Rarely,Research & Development,1,4,Science,1,635,2,Female,3,2,Manufacturing Director,2,Married,64470,6,Y,No,12,3,2,80,1,8,2,2,6,5,4,3
49,No,Travel_Rarely,Research & Development,18,4,Science,1,638,4,Male,2,5,Research Director,3,Divorced,195020,1,Y,Yes,17,3,3,80,1,31,5,3,31,9,0,9
24,No,Travel_Rarely,Research & Development,23,3,Medical,1,639,2,Male,4,1,Research Scientist,4,Married,27250,1,Y,Yes,11,3,2,80,2,6,3,3,6,5,1,4
26,No,Travel_Rarely,Sales,28,2,Marketing,1,641,1,Male,3,2,Sales Executive,2,Married,62720,1,Y,No,20,4,4,80,2,6,5,4,5,3,1,4
24,No,Travel_Rarely,Research & Development,17,2,Other,1,643,4,Male,2,1,Laboratory Technician,2,Married,21270,1,Y,No,21,4,4,80,1,1,2,3,1,0,0,0
50,No,Travel_Frequently,Human Resources,3,3,Medical,1,644,1,Male,3,5,Manager,2,Married,182000,1,Y,No,11,3,3,80,1,32,2,3,32,5,10,7
25,No,Travel_Rarely,Sales,13,1,Medical,1,645,2,Male,3,1,Sales Representative,3,Married,20960,1,Y,No,11,3,3,80,0,7,1,3,7,4,0,6
24,Yes,Travel_Frequently,Research & Development,7,3,Science,1,647,1,Female,3,1,Laboratory Technician,3,Married,28860,1,Y,Yes,16,3,4,80,1,6,4,3,6,3,1,2
30,Yes,Travel_Frequently,Sales,12,4,Science,1,648,2,Male,2,1,Sales Representative,1,Married,20330,1,Y,No,18,3,3,80,1,1,2,4,1,0,0,0
34,No,Travel_Rarely,Research & Development,1,2,Science,1,649,2,Male,2,1,Research Scientist,4,Married,36220,1,Y,Yes,13,3,4,80,1,6,3,3,6,5,1,3
31,Yes,Travel_Rarely,Sales,13,4,Medical,1,650,2,Male,3,2,Sales Executive,1,Divorced,42330,2,Y,No,17,3,3,80,0,9,2,1,3,1,1,2
35,No,Travel_Rarely,Research & Development,25,2,Other,1,652,1,Male,2,2,Laboratory Technician,4,Single,36810,4,Y,No,14,3,4,80,0,9,3,3,3,2,0,2
31,No,Travel_Rarely,Sales,6,4,Medical,1,653,1,Male,4,2,Sales Executive,4,Divorced,54600,4,Y,No,22,4,4,80,2,13,4,4,7,7,5,7
27,No,Travel_Rarely,Research & Development,6,4,Medical,1,655,1,Female,2,1,Research Scientist,3,Divorced,21870,0,Y,No,12,3,3,80,2,6,5,2,5,3,0,3
37,No,Travel_Rarely,Sales,2,3,Marketing,1,656,4,Male,3,2,Sales Executive,3,Married,96020,4,Y,Yes,11,3,3,80,1,17,3,2,3,0,1,0
20,No,Travel_Rarely,Research & Development,1,3,Science,1,657,4,Female,2,1,Research Scientist,2,Single,28360,1,Y,No,13,3,4,80,0,1,0,4,1,0,0,0
42,No,Travel_Rarely,Research & Development,2,4,Science,1,659,3,Female,3,2,Healthcare Representative,4,Married,40890,1,Y,No,13,3,2,80,2,10,4,3,10,2,2,2
43,No,Travel_Rarely,Research & Development,6,4,Other,1,661,2,Male,2,4,Research Director,4,Divorced,166270,4,Y,Yes,14,3,3,80,1,21,3,2,1,0,0,0
38,No,Travel_Rarely,Research & Development,1,1,Science,1,662,3,Female,3,1,Research Scientist,1,Single,26190,3,Y,No,17,3,4,80,0,8,3,2,0,0,0,0
43,No,Travel_Frequently,Research & Development,9,5,Medical,1,663,4,Male,3,2,Laboratory Technician,3,Divorced,56790,3,Y,Yes,13,3,2,80,1,10,3,3,8,7,4,7
48,No,Travel_Rarely,Research & Development,1,4,Science,1,664,4,Female,2,4,Manager,1,Married,154020,7,Y,No,11,3,1,80,1,21,3,1,3,2,0,2
44,No,Travel_Rarely,Human Resources,1,4,Science,1,665,1,Female,2,2,Human Resources,3,Single,59850,4,Y,No,11,3,2,80,0,10,1,4,2,2,0,2
34,No,Travel_Rarely,Sales,14,3,Technical Degree,1,666,3,Female,3,1,Sales Representative,3,Divorced,25790,1,Y,Yes,18,3,4,80,2,8,3,3,8,2,0,6
27,Yes,Travel_Rarely,Sales,2,1,Marketing,1,667,3,Male,3,1,Sales Representative,1,Divorced,30410,0,Y,No,11,3,2,80,1,5,3,3,4,3,0,2
21,No,Travel_Rarely,Sales,22,1,Technical Degree,1,669,3,Male,3,1,Sales Representative,3,Single,34470,1,Y,No,11,3,3,80,0,3,2,3,3,2,1,2
44,No,Travel_Rarely,Research & Development,3,4,Other,1,671,4,Male,3,5,Manager,4,Married,195130,4,Y,Yes,12,3,1,80,1,26,2,4,2,2,0,1
22,No,Travel_Rarely,Research & Development,6,1,Medical,1,675,1,Male,3,1,Research Scientist,3,Married,27730,0,Y,No,20,4,4,80,0,3,3,3,2,2,2,2
33,No,Travel_Rarely,Sales,8,4,Marketing,1,677,3,Male,3,2,Sales Executive,3,Divorced,71040,0,Y,No,12,3,4,80,0,6,3,3,5,0,1,2
32,No,Travel_Rarely,Research & Development,9,4,Science,1,679,1,Female,3,2,Research Scientist,4,Married,63220,1,Y,Yes,12,3,4,80,1,6,2,2,6,4,0,5
30,No,Travel_Frequently,Research & Development,3,3,Medical,1,680,3,Female,3,1,Research Scientist,3,Divorced,20830,1,Y,No,20,4,3,80,1,1,2,3,1,0,0,0
53,No,Travel_Rarely,Sales,1,1,Medical,1,682,4,Female,3,2,Sales Executive,1,Single,83810,7,Y,No,20,4,4,80,0,18,2,4,14,7,8,10
34,No,Travel_Rarely,Research & Development,1,5,Science,1,683,2,Male,3,1,Research Scientist,4,Married,26910,1,Y,No,12,3,4,80,1,10,4,2,10,9,8,8
45,Yes,Travel_Frequently,Sales,26,4,Science,1,684,1,Female,3,2,Sales Executive,1,Married,42860,2,Y,No,14,3,4,80,2,5,4,3,1,1,0,0
26,No,Travel_Rarely,Research & Development,6,3,Science,1,686,3,Female,3,1,Laboratory Technician,4,Married,26590,1,Y,Yes,13,3,3,80,1,3,2,3,3,2,0,2
37,No,Travel_Rarely,Research & Development,3,3,Other,1,689,3,Male,3,3,Manufacturing Director,3,Married,94340,1,Y,No,15,3,3,80,1,10,2,3,10,7,7,8
29,No,Travel_Rarely,Sales,3,2,Medical,1,690,2,Female,3,2,Sales Executive,3,Married,55610,1,Y,No,14,3,1,80,1,6,5,2,6,0,1,2
35,No,Travel_Rarely,Research & Development,6,4,Science,1,691,2,Male,1,2,Research Scientist,4,Single,66460,1,Y,No,13,3,2,80,0,17,3,3,17,11,11,8
33,No,Travel_Frequently,Research & Development,6,3,Science,1,692,3,Male,3,2,Healthcare Representative,4,Divorced,77250,3,Y,No,23,4,3,80,1,15,2,1,13,11,4,7
54,No,Travel_Rarely,Human Resources,19,4,Medical,1,698,3,Male,3,3,Human Resources,2,Married,107250,2,Y,No,15,3,3,80,1,16,1,4,9,7,7,1
36,No,Travel_Rarely,Research & Development,9,2,Medical,1,699,2,Male,2,2,Manufacturing Director,2,Divorced,88470,2,Y,Yes,11,3,3,80,1,13,2,3,3,2,0,2
27,No,Travel_Rarely,Research & Development,3,4,Medical,1,700,1,Male,2,1,Research Scientist,4,Single,20450,0,Y,No,13,3,4,80,0,5,0,3,4,2,1,1
20,Yes,Travel_Rarely,Research & Development,10,1,Medical,1,701,4,Male,3,1,Research Scientist,3,Single,10090,1,Y,Yes,11,3,4,80,0,1,5,3,1,0,1,1
33,Yes,Travel_Frequently,Research & Development,3,3,Science,1,702,1,Male,3,1,Research Scientist,1,Single,33480,1,Y,Yes,11,3,1,80,0,10,3,3,10,8,9,7
35,No,Non-Travel,Research & Development,3,3,Science,1,704,3,Male,2,1,Laboratory Technician,3,Married,12810,1,Y,No,18,3,3,80,2,1,3,3,1,0,0,0
23,No,Travel_Rarely,Research & Development,4,3,Medical,1,705,1,Male,4,1,Research Scientist,1,Married,28190,2,Y,No,16,3,1,80,1,5,3,4,3,2,0,2
25,No,Travel_Rarely,Sales,8,3,Science,1,707,4,Male,4,2,Sales Executive,2,Married,48510,0,Y,No,22,4,3,80,1,4,4,3,3,2,1,2
38,No,Travel_Rarely,Sales,7,4,Marketing,1,709,4,Female,2,2,Sales Executive,4,Single,40280,0,Y,No,20,4,1,80,0,8,2,3,7,7,0,5
29,No,Travel_Frequently,Research & Development,1,4,Science,1,710,2,Male,1,1,Research Scientist,4,Divorced,27200,1,Y,No,18,3,4,80,1,10,5,3,10,7,2,8
48,No,Travel_Rarely,Sales,2,1,Marketing,1,712,2,Male,4,2,Sales Executive,2,Married,81200,3,Y,No,12,3,4,80,0,12,3,3,2,2,2,2
27,No,Travel_Frequently,Sales,3,1,Medical,1,714,4,Female,4,2,Sales Executive,4,Divorced,46470,1,Y,Yes,20,4,2,80,2,6,3,3,6,5,0,4
